tags: active-korean unit-5-daily-life

[sound:목욕.mp3]	목욕	bain
[sound:목욕탕.mp3]	목욕탕	bains publics
[sound:목욕하다.mp3]	목욕(을 )하다	prendre un bain, se baigner

[sound:음악.mp3]	음악	musique
[sound:노래.mp3]	노래	chanson
[sound:노래부르다.mp3]	노래(를 )부르다	chanter
[sound:불러요.mp3]	<table id="notes"><tr><th><span class="em">불러</span>요<p class="small">(<span class="em">부르어</span>요)</p></th></tr><tr><td>노래부르다</td></tr></table>	il chante

[sound:춤.mp3]	춤	danse
[sound:춤추다.mp3]	춤(을 )추다	danser
[sound:춤춰요.mp3]	<table id="notes"><tr><th>춤<span class="em">춰</span>요<p class="small">(춤<span class="em">추어</span>요)</p></th></tr><tr><td>춤추다</td></tr></table>	il danse

[sound:헤어지다.mp3]	헤어지다	se séparer, rompre
[sound:헤어져요.mp3]	<table id="notes"><tr><th>헤어<span class="em">져</span>요<p class="small">(헤어<span class="em">지어</span>요)</p></th></tr><tr><td>헤어지다</td></tr></table>	il rompt

[sound:크다.mp3]	크다	être grand
[sound:커요.mp3]	<table id="notes"><tr><th><span class="em">커</span>요<p class="small">(<span class="em">크어</span>요)</p></th></tr><tr><td>크다</td></tr></table>	il est grand

[sound:작다.mp3]	작다	être petit
[sound:작아요.mp3]	<table id="notes"><tr><th>작아요</th></tr><tr><td>작다</td></tr></table>	il est petit

[sound:많다.mp3]	많다	être nombreux
[sound:많아요.mp3]	<table id="notes"><tr><th>많아요</th></tr><tr><td>많다</td></tr></table>	ils sont nombreux

[sound:적다.mp3]	적다	être peu (nombreux)
[sound:적어요.mp3]	<table id="notes"><tr><th>적어요</th></tr><tr><td>적다</td></tr></table>	ils sont peu (nombreux)

[sound:길다.mp3]	길다	être long
[sound:길어요.mp3]	<table id="notes"><tr><th>길어요</th></tr><tr><td>길다</td></tr></table>	il est long

[sound:짧다.mp3]	짧다	être court
[sound:짧아요.mp3]	<table id="notes"><tr><th>짧아요</th></tr><tr><td>짧다</td></tr></table>	il est court

[sound:무겁다.mp3]	무겁다	être lourd
[sound:무거워요.mp3]	<table id="notes"><tr><th>무거<span class="em">워</span>요<p class="small">(무거<span class="em">우어</span>요)</p></th></tr><tr><td>무겁다</td></tr></table>	il est lourd

[sound:가볍다.mp3]	가볍다	être léger
[sound:가벼워요.mp3]	<table id="notes"><tr><th>가벼<span class="em">워</span>요<p class="small">(가벼<span class="em">우어</span>요)</p></th></tr><tr><td>가볍다</td></tr></table>	il est léger

[sound:높다.mp3]	높다	être haut
[sound:높아요.mp3]	<table id="notes"><tr><th>높아요</th></tr><tr><td>높다</td></tr></table>	il est haut

[sound:낮다.mp3]	낮다	être bas
[sound:낮아요.mp3]	<table id="notes"><tr><th>낮아요</th></tr><tr><td>낮다</td></tr></table>	il est bas

[sound:넓다.mp3]	넓다	être large (grand, spacieux)
[sound:넓어요.mp3]	<table id="notes"><tr><th>넓어요</th></tr><tr><td>넓다</td></tr></table>	il est large (grand, spacieux)

[sound:좁다.mp3]	좁다	être étroit
[sound:좁아요.mp3]	<table id="notes"><tr><th>좁아요</th></tr><tr><td>좁다</td></tr></table>	il est étroit

[sound:빠르다.mp3]	빠르다	être rapide
[sound:빨라요.mp3]	<table id="notes"><tr><th><span class="em">빨라</span>요<p class="small">(<span class="em">빠르어</span>요)</p></th></tr><tr><td>빠르다</td></tr></table>	il est rapide

[sound:느리다.mp3]	느리다	être lent
[sound:느려요.mp3]	<table id="notes"><tr><th>느<span class="em">려</span>요<p class="small">(느<span class="em">리어</span>요)</p></th></tr><tr><td>느리다</td></tr></table>	il est lent

[sound:시원하다.mp3]	시원하다	être froid, frais<p class="small">(tempéré, angl. "cool")</p>
[sound:춥다.mp3]	춥다	être froid<p class="small">(non tempéré, angl. "cold")</p>
[sound:추워요.mp3]	<table id="notes"><tr><th>추<span class="em">워</span>요<p class="small">(추<span class="em">우어</span>요)</p></th></tr><tr><td>춥다</td></tr></table>	il fait froid

[sound:덥다.mp3]	덥다	être chaud<p class="small">(non tempéré, angl. "hot")</p>
[sound:더워요.mp3]	<table id="notes"><tr><th>더<span class="em">워</span>요<p class="small">(더<span class="em">우어</span>요)</p></th></tr><tr><td>덥다</td></tr></table>	il fait chaud

[sound:피곤하다.mp3]	피곤하다	être fatigué
[sound:피곤해요.mp3]	<table id="notes"><tr><th>피곤해요</th></tr><tr><td>피곤하다</td></tr></table>	il est fatigué

[sound:친절하다.mp3]	친절하다	être gentil (amical, aimable)
[sound:친절해요.mp3]	<table id="notes"><tr><th>친절해요</th></tr><tr><td>친절하다</td></tr></table>	il est gentil (amical, aimable)

[sound:출퇴근.mp3]	출퇴근	trajet du travail, navette
[sound:출퇴근_시간에.mp3]	출퇴근 시간에	heure de pointe
[sound:퇴근하다.mp3]	퇴근하다	quitter le travail
[sound:퇴근해요.mp3]	<table id="notes"><tr><th>퇴근해요</th></tr><tr><td>퇴근하다</td></tr></table>	il quitte le travail

[sound:출근하다.mp3]	출근하다	arriver au travail
[sound:출근해요.mp3]	<table id="notes"><tr><th>출근해요</th></tr><tr><td>출근하다</td></tr></table>	il arrive au travail
