tags: active-korean unit-7-appointment


## 어휘

[sound:약속.mp3]	약속	rendez-vous<hr/>promesse, engagement
[sound:약속이_있다.mp3]	약속이 있다	avoir un rendez-vous

[sound:시간이_있다.mp3]	시간이 있다	avoir le temps
[sound:시간이_없다.mp3]	시간이 없다	ne pas avoir le temps

[sound:도서관.mp3]	도서관	bibliothèque
[sound:책방.mp3]	책방	librairie
[sound:극장.mp3]	극장	(salle de) théâtre, (salle de) cinéma
[sound:시청.mp3]	시청	hôtel de ville
[sound:우체국.mp3]	우체국	bureau de poste
[sound:커피숍.mp3]	커피숍	coffee shop
[sound:노래방.mp3]	노래방	(salle de) karaoke
[sound:PC방.mp3]	PC방	cybercafé
[sound:미장원.mp3]	미장원	salon de beauté

[sound:생일.mp3]	생일	anniversaire
[sound:파티.mp3]	파티	fête
[sound:추석.mp3]	추석	Chuseok<p class="small">(fête des récoltes, l'une des plus importantes fêtes traditionnelles coréennes)</p>
[sound:설날.mp3]	설날	Seollal<p class="small">(nouvel an lunaire, l'une des plus importantes fêtes traditionnelles coréennes)</p>

[sound:앞.mp3]	앞	devant, au-devant de, en face de
[sound:일본어_일어.mp3]	일(본)어	japonais<p class="small">(langue)</p>

[sound:시험.mp3]	시험	examen
[sound:시험을_보다.mp3]	시험(을) 보다	passer un examen

[sound:숙제.mp3]	숙제	devoirs (scolaires)
[sound:숙제하다.mp3]	숙제하다	faire ses devoirs (scolaires)

[sound:수영.mp3]	수영	natation, nage
[sound:수영하다.mp3]	수영하다	faire de la natation, nager


## 핵심 대화

[sound:오늘이_며칠이에요.mp3]	<ul><li>오늘이 며칠이에요?</li><li>오늘은 시월 십칠 일이에요.</li></ul>	<ul><li>Quel jour sommes-nous aujourd'hui ?</li><li>Aujourd'hui nous sommes le 17 octobre.</li></ul>

