tags: active-korean unit-8-locations-directions


## 어휘

[sound:위치.mp3]	위치	emplacement
[sound:방향.mp3]	방향	direction

[sound:앞.mp3]	앞	devant, au-devant de, en face de
[sound:뒤.mp3]	뒤	derrière
[sound:옆.mp3]	옆	à côté de
[sound:가운데.mp3]	가운데	au milieu de, au centre de
[sound:사이.mp3]	사이	entre
[sound:오른쪽.mp3]	오른쪽	à droite de
[sound:왼쪽.mp3]	왼쪽	à gauche de
[sound:위.mp3]	위	sur, au-dessus de
[sound:밑_아래.mp3]	밑<hr/>아래	sous, en dessous de
[sound:안_속.mp3]	안<hr/>속	dans, au-dedans, à l'intérieur de
[sound:밖.mp3]	밖	dehors, au-dehors, à l'extérieur de
[sound:근처.mp3]	근처	à proximité, alentour, autour, dans les environs

[sound:세탁소.mp3]	세탁소	blanchisserie, teinturier (nettoyage à sec)
[sound:세탁실.mp3]	세탁실	buanderie
[sound:약국.mp3]	약국	pharmacie
[sound:호텔.mp3]	호텔	hôtel
[sound:화장.mp3]	화장	maquillage
[sound:화장실.mp3]	화장실	toilettes, wc
[sound:서울대학교.mp3]	서울대학교	Université nationale de Séoul
[sound:지하철역.mp3]	지하철역	station de métro
[sound:방.mp3]	방	chambre, pièce
[sound:교실.mp3]	교실	salle de classe

[sound:옷장.mp3]	옷장	garde-robe
[sound:냉장.mp3]	냉장	réfrigération
[sound:냉장고.mp3]	냉장고	réfrigérateur
[sound:침대.mp3]	침대	lit
[sound:소파.mp3]	소파	canapé
[sound:의자.mp3]	의자	chaise
[sound:책상.mp3]	책상	table, bureau
[sound:컴퓨터.mp3]	컴퓨터	ordinateur
[sound:식탁.mp3]	식탁	table à manger
[sound:칠판.mp3]	칠판	tableau noir<p class="small">(école)</p>

[sound:야채.mp3]	야채	légume
[sound:아이스크림.mp3]	아이스크림	glace, crème glacée
[sound:코트.mp3]	코트	manteau

[sound:자동차.mp3]	자동차<hr/>차	voiture, automobile
[sound:버스.mp3]	버스	bus
[sound:걸리다.mp3]	걸리다	prendre<p class="small">(le temps nécessaire)</p>


## 핵심 대화



## 듣기
